,Scientific,Dutch,RL_NT,RL_VU,RL_EN,RL_CR,RL_EX,HabDir_II,HabDir_IV,BirdDir_I,BernConv_1,BernConv_2,BonnConv_1,BonnConv_2,FF_Table1,FF_Table2,FF_Table3,FF_Birds,taxonomicGroup
Certhia brachydactyla,Certhia brachydactyla,Boomkruiper,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Charadrius dubius,Charadrius dubius,Kleine plevier,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Charadrius hiaticula ,Charadrius hiaticula ,Bontbekplevier ,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Chlidonias niger,Chlidonias niger,Zwarte stern,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Chloris chloris,Chloris chloris,Groenling ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Chroicocephalus ridibundus,Chroicocephalus ridibundus,Kokmeeuw,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Ciconia ciconia,Ciconia ciconia,Ooievaar,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Ciconia nigra,Ciconia nigra,Zwarte ooievaar,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Circus aeruginosus,Circus aeruginosus,Bruine kiekendief,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Circus cyaneus,Circus cyaneus,Blauwe kiekendief,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Circus pygargus,Circus pygargus,Grauwe kiekendief,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Coccothraustes coccothraustes,Coccothraustes coccothraustes,Appelvink,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Columba oenas,Columba oenas,Holenduif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Columba palumbus,Columba palumbus,Houtduif,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Birds
Corvus corone,Corvus corone,Zwarte kraai,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Birds
Corvus frugilegus,Corvus frugilegus,Roek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birds
Corvus monedula,Corvus monedula,Kauw ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Birds
Coturnix coturnix,Coturnix coturnix,Kwartel,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Birds
Crex crex,Crex crex,Kwartelkoning,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Cuculus canorus,Cuculus canorus,Koekoek,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birds
Cyanistes caeruleus,Cyanistes caeruleus,Pimpelmees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Cygnus bewickii,Cygnus bewickii,Kleine zwaan,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Cygnus cygnus,Cygnus cygnus,Wilde zwaan,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Cygnus olor,Cygnus olor,Knobbelzwaan,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Delichon urbicum,Delichon urbicum,Huiszwaluw,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Dendrocopos major,Dendrocopos major,Grote bonte specht ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Dendrocopos medius,Dendrocopos medius,Middelste bonte specht,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Birds
Dendrocopos minor,Dendrocopos minor,Kleine bonte specht,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Dryocopus martius,Dryocopus martius,Zwarte specht,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Birds
Egretta garzetta,Egretta garzetta,Kleine zilverreiger,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Birds
Emberiza calandra,Emberiza calandra,Grauwe gors,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Birds
Emberiza citrinella,Emberiza citrinella,Geelgors ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Emberiza schoeniclus,Emberiza schoeniclus,Rietgors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birds
Erithacus rubecula,Erithacus rubecula,Roodborst,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Falco columbarius,Falco columbarius,Smelleken,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Falco peregrinus,Falco peregrinus,Slechtvalk,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Falco subbuteo,Falco subbuteo,Boomvalk,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Falco tinnunculus,Falco tinnunculus,Torenvalk,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Falco vespertinus,Falco vespertinus,Roodpootvalk,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Fringilla coelebs,Fringilla coelebs,Vink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birds
Fulica atra,Fulica atra,Meerkoet,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Birds
Galerida cristata,Galerida cristata,Kuifleeuwerik ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Birds
Gallinago gallinago,Gallinago gallinago,Watersnip,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,Birds
Gallinula chloropus,Gallinula chloropus,Waterhoen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birds
Garrulus glandarius,Garrulus glandarius,Gaai ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Birds
Gavia immer,Gavia immer,Ijsduiker ,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Grus grus,Grus grus,Kraanvogel,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Haematopus ostralegus,Haematopus ostralegus,Scholekster,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Birds
Haliaeetus albicilla,Haliaeetus albicilla,Zeearend,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Himantopus himantopus,Himantopus himantopus,Steltkluut,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Hippolais icterina,Hippolais icterina,Spotvogel,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Hirundo rustica,Hirundo rustica,Boerenzwaluw,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Ixobrychus minutus,Ixobrychus minutus,Woudaapje,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Lanius excubitor,Lanius excubitor,Klapekster ,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Larus canus,Larus canus,Stormmeeuw,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Larus melanocephalus,Larus melanocephalus,Zwartkopmeeuw,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
