,Scientific,Dutch,RL_NT,RL_VU,RL_EN,RL_CR,RL_EX,HabDir_II,HabDir_IV,BirdDir_I,BernConv_1,BernConv_2,BonnConv_1,BonnConv_2,FF_Table1,FF_Table2,FF_Table3,FF_Birds,taxonomicGroup
Euphorbia seguieriana,Euphorbia seguieriana,Zandwolfsmelk,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Euphorbia stricta,Euphorbia stricta,Stijve wolfsmelk,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Euphrasia stricta,Euphrasia stricta,Stijve ogentroost,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Fagopyrum tataricum,Fagopyrum tataricum,Franse boekweit,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Festuca rubra,Festuca rubra,Rood zwenkgras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Filago arvensis,Filago arvensis,Akkerviltkruid,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Filago lutescens,Filago lutescens,Geel viltkruid,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Filago minima,Filago minima,Dwergviltkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Filago pyramidata,Filago pyramidata,Spatelviltkruid,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Filago vulgaris,Filago vulgaris,Duits viltkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Filipendula ulmaria,Filipendula ulmaria,Moerasspirea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Filipendula vulgaris,Filipendula vulgaris,Knolspirea,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Fragaria moschata,Fragaria moschata,Grote bosaardbei,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Fragaria vesca,Fragaria vesca,Bosaardbei,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Fraxinus excelsior,Fraxinus excelsior,Gewone es,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Fritillaria meleagris,Fritillaria meleagris,Wilde kievitsbloem,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Gagea lutea,Gagea lutea,Bosgeelster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Gagea villosa,Gagea villosa,Akkergeelster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Galeopsis angustifolia,Galeopsis angustifolia,Smalle raai,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Galeopsis segetum,Galeopsis segetum,Bleekgele hennepnetel,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Galium boreale,Galium boreale,Noords walstro,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Galium palustre,Galium palustre,Moeraswalstro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Galium sylvaticum,Galium sylvaticum,Boswalstro,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Galium tricornutum,Galium tricornutum,Driehoornig walstro,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Genista anglica,Genista anglica,Stekelbrem,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Genista germanica,Genista germanica,Duitse brem,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Genista pilosa,Genista pilosa,Kruipbrem,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Genista tinctoria,Genista tinctoria,Verfbrem ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Gentiana pneumonanthe,Gentiana pneumonanthe,Klokjesgentiaan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Geranium columbinum,Geranium columbinum,Fijne ooievaarsbek,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Geranium pratense,Geranium pratense,Beemdooievaarsbek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Geranium pusillum,Geranium pusillum,Kleine ooievaarsbek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Geranium pyrenaicum,Geranium pyrenaicum,Bermooievaarsbek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Geranium rotundifolium,Geranium rotundifolium,Ronde ooievaarsbek,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Geum rivale,Geum rivale,Knikkend nagelkruid,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Glyceria maxima,Glyceria maxima,Liesgras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Gnaphalium sylvaticum,Gnaphalium sylvaticum,Bosdroogbloem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Gratiola officinalis,Gratiola officinalis,Genadekruid,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Groenlandia densa,Groenlandia densa,Paarbladig fonteinkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Gypsophila muralis,Gypsophila muralis,Gipskruid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Helianthemum nummularium,Helianthemum nummularium,Geel zonneroosje,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Helictotrichon pubescens,Helictotrichon pubescens,Zachte haver ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Helleborus viridis,Helleborus viridis,Wrangwortel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Heracleum sphondylium,Heracleum sphondylium,Bereklauw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Herniaria glabra,Herniaria glabra,Kaal breukkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Hieracium amplexicaule,Hieracium amplexicaule,Stengelomvattend havikskruid,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Hieracium caespitosum,Hieracium caespitosum,Weidehavikskruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Hieracium murorum,Hieracium murorum,Muurhavikskruid,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Hierochloe odorata,Hierochloe odorata,Veenreukgras,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Hippuris vulgaris,Hippuris vulgaris,Lidsteng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Holcus lanatus,Holcus lanatus,Gestreepte witbol ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Holcus mollis,Holcus mollis,Gladde witbol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Holosteum umbellatum,Holosteum umbellatum,Heelbeen,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Hordeum secalinum,Hordeum secalinum,Veldgerst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Hottonia palustris,Hottonia palustris,Waterviolier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Huperzia selago,Huperzia selago,Dennenwolfsklauw,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Hydrocharis morsus-ranae,Hydrocharis morsus-ranae,Kikkerbeet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Hyoscyamus niger,Hyoscyamus niger,Bilzekruid,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Hypericum elodes,Hypericum elodes,Moerashertshooi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Hypericum hirsutum,Hypericum hirsutum,Ruig hertshooi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Hypericum montanum,Hypericum montanum,Berghertshooi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Hypericum pulchrum,Hypericum pulchrum,Fraai hertshooi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Hypochaeris glabra,Hypochaeris glabra,Glad biggenkruid,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Ilex aquifolium,Ilex aquifolium,Hulst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Illecebrum verticillatum,Illecebrum verticillatum,Grondster,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Impatiens capensis,Impatiens capensis,Oranje springzaad ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Impatiens glandulifera,Impatiens glandulifera,Reuzenbalsemien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Impatiens noli-tangere,Impatiens noli-tangere,Groot springzaad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Inula britannica,Inula britannica,Engelse alant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Iris pseudacorus,Iris pseudacorus,Gele lis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Isatis tinctoria,Isatis tinctoria,Wede,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Jacobaea paludosa,Jacobaea paludosa,Moeraskruiskruid,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Juncus alpinoarticulatus subsp. alpinoarticulatus,Juncus alpinoarticulatus subsp. alpinoarticulatus,Alpenrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Juncus bulbosus,Juncus bulbosus,Knolrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Juncus capitatus,Juncus capitatus,Koprus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Juncus effusus,Juncus effusus,Pitrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Juncus filiformis,Juncus filiformis,Draadrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Juncus tenageia,Juncus tenageia,Wijdbloeiende rus ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Juniperus communis,Juniperus communis,Jeneverbes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Kickxia elatine,Kickxia elatine,Spiesleeuwenbek,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Kickxia spuria,Kickxia spuria,Eironde leeuwenbek,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Knautia arvensis,Knautia arvensis,Beemdkroon,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Koeleria macrantha,Koeleria macrantha,Smal fakkelgras ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Lamiastrum galeobdolon subsp. galeobdolon,Lamiastrum galeobdolon subsp. galeobdolon,Gele dovenetel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Lathyrus aphaca,Lathyrus aphaca,Naakte lathyrus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Lathyrus linifolius,Lathyrus linifolius,Knollathyrus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Lathyrus nissolia,Lathyrus nissolia,Graslathyrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Lathyrus sylvestris,Lathyrus sylvestris,Boslathyrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Lathyrus tuberosus,Lathyrus tuberosus,Aardaker,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,HigherPlants
Leersia oryzoides,Leersia oryzoides,Rijstgras,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Legousia hybrida,Legousia hybrida,Klein spiegelklokje,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Legousia speculum-veneris,Legousia speculum-veneris,Groot spiegelklokje,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Leontodon hispidus,Leontodon hispidus,Ruige leeuwentand,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Leonurus cardiaca,Leonurus cardiaca,Hartgespan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Lepidium campestre,Lepidium campestre,Veldkruidkers,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Lepidium draba,Lepidium draba,Pijlkruidkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Lepidium graminifolium,Lepidium graminifolium,Graskers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Lepidium heterophyllum,Lepidium heterophyllum,Rozetkruidkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Lepidium latifolium,Lepidium latifolium,Peperkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Leucanthemum vulgare,Leucanthemum vulgare,Margriet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Leucojum aestivum,Leucojum aestivum,Zomerklokje,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Limosella aquatica,Limosella aquatica,Slijkgroen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Linaria repens,Linaria repens,Gestreepte leeuwenbek ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Linum catharticum,Linum catharticum,Geelhartje,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Liparis loeselii,Liparis loeselii,Groenknolorchis,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,HigherPlants
Listera ovata,Listera ovata,Grote keverorchis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Lithospermum arvense,Lithospermum arvense,Ruw parelzaad,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Lithospermum officinale,Lithospermum officinale,Glad parelzaad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Littorella uniflora,Littorella uniflora,Oeverkruid,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Lolium perenne,Lolium perenne,Engels raaigras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Lotus corniculatus var. corniculatus,Lotus corniculatus var. corniculatus,Gewone rolklaver ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Ludwigia palustris,Ludwigia palustris,Waterlepeltje,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Luronium natans,Luronium natans,Drijvende waterweegbree,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,HigherPlants
Lycopodiella inundata,Lycopodiella inundata,Moeraswolfsklauw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Lycopodium clavatum,Lycopodium clavatum,Grote wolfsklauw,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Lycopus europaeus,Lycopus europaeus,Wolfspoot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Lysimachia nummularia,Lysimachia nummularia,Penningkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Lysimachia vulgaris,Lysimachia vulgaris,Grote wederik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Lythrum hyssopifolia,Lythrum hyssopifolia,Kleine kattenstaart,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Lythrum salicaria,Lythrum salicaria,Grote kattenstaart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Malva alcea,Malva alcea,Vijfdelig kaasjeskruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Marrubium vulgare,Marrubium vulgare,Malrove,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Medicago falcata,Medicago falcata,Sikkelklaver,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Medicago lupulina,Medicago lupulina,Hopklaver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Medicago minima,Medicago minima,Kleine rupsklaver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Medicago polymorpha,Medicago polymorpha,Ruige rupsklaver,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Medicago sativa,Medicago sativa,Luzerne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Medicago x varia,Medicago x varia,Bonte luzerne ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Melampyrum arvense,Melampyrum arvense,Wilde weit,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Melica uniflora,Melica uniflora,Eenbloemig parelgras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Mentha aquatica,Mentha aquatica,Watermunt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Mentha longifolia,Mentha longifolia,Hertsmunt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Mentha pulegium,Mentha pulegium,Polei,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Mentha suaveolens,Mentha suaveolens,Witte munt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Mentha x rotundifolia,Mentha x rotundifolia,Wollige munt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Menyanthes trifoliata,Menyanthes trifoliata,Waterdrieblad,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Mibora minima,Mibora minima,Dwerggras,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Mimulus guttatus,Mimulus guttatus,Gele maskerbloem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Minuartia hybrida,Minuartia hybrida,Tengere veldmuur,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Misopates orontium,Misopates orontium,Akkerleeuwenbek,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Molinia caerulea,Molinia caerulea,Pijpenstrootje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Myosotis ramosissima,Myosotis ramosissima,Ruw vergeet-me-nietje ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Myosotis scorpioides,Myosotis scorpioides,Moerasvergeet-mij-nietje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Myosotis stricta,Myosotis stricta,Stijf vergeet-mij-nietje,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Myrica gale,Myrica gale,Wilde gagel ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Myriophyllum alterniflorum,Myriophyllum alterniflorum,Teer vederkruid,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Najas minor,Najas minor,Klein nimfkruid,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Narcissus pseudonarcissus subsp. pseudonarcissus,Narcissus pseudonarcissus subsp. pseudonarcissus,Wilde narcis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Nardus stricta,Nardus stricta,Borstelgras,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Narthecium ossifragum,Narthecium ossifragum,Beenbreek,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Nasturtium officinale,Nasturtium officinale,Witte waterkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Neottia nidus-avis,Neottia nidus-avis,Vogelnestje,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Nepeta cataria,Nepeta cataria,Wild kattenkruid ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Nuphar lutea,Nuphar lutea,Gele plomp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Nymphaea alba,Nymphaea alba,Witte waterlelie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Nymphoides peltata,Nymphoides peltata,Watergentiaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Odontites vernus subsp. serotinus,Odontites vernus subsp. serotinus,Rode ogentroost,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Odontites vernus subsp. vernus,Odontites vernus subsp. vernus,Akkerogentroost,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Oenanthe crocata,Oenanthe crocata,Dodemansvingers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Oenanthe lachenalii,Oenanthe lachenalii,Zilt torkruid,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Oenanthe pimpinelloides,Oenanthe pimpinelloides,Beverneltorkruid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Oenanthe silaifolia,Oenanthe silaifolia,Weidekervel-torkruid,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Ononis repens subsp. repens,Ononis repens subsp. repens,Kruipend stalkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Ononis repens subsp. spinosa,Ononis repens subsp. spinosa,Kattendoorn,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Ophrys apifera,Ophrys apifera,Bijenorchis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Orchis militaris,Orchis militaris,Soldaatje,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Orchis simia,Orchis simia,Aapjesorchis,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Origanum vulgare,Origanum vulgare,Wilde marjolein,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Ornithogalum umbellatum,Ornithogalum umbellatum,Gewone vogelmelk,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,HigherPlants
Orobanche caryophyllacea,Orobanche caryophyllacea,Walstrobremraap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Orobanche hederae,Orobanche hederae,Klimopbremraap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Orobanche lutea,Orobanche lutea,Rode bremraap,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Orobanche minor,Orobanche minor,Klavervreter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Orobanche picridis,Orobanche picridis,Bitterkruidbremraap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Orobanche purpurea,Orobanche purpurea,Blauwe bremraap,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Orobanche rapum-genistae,Orobanche rapum-genistae,Grote bremraap,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Orobanche reticulata,Orobanche reticulata,Distelbremraap,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Osmunda regalis,Osmunda regalis,Koningsvaren,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,HigherPlants
Parietaria judaica,Parietaria judaica,Klein glaskruid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Parietaria officinalis,Parietaria officinalis,Groot glaskruid ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Paris quadrifolia,Paris quadrifolia,Eenbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Parnassia palustris,Parnassia palustris,Parnassia,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Pastinaca sativa subsp. sativa,Pastinaca sativa subsp. sativa,Pastinaak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Pedicularis palustris,Pedicularis palustris,Moeraskartelblad,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Pedicularis sylvatica,Pedicularis sylvatica,Heidekartelblad ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Persicaria amphibian ,Persicaria amphibian ,Veenwortel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Persicaria bistorta,Persicaria bistorta,Adderwortel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Persicaria hydropiper,Persicaria hydropiper,Waterpeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Persicaria lapathifolia,Persicaria lapathifolia,Beklierde duizendknoop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Petasites hybridus,Petasites hybridus,Groot hoefblad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Petrorhagia prolifera,Petrorhagia prolifera,Mantelanjer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Peucedanum carvifolia,Peucedanum carvifolia,Karwijvarkenskervel,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Phalaris arundinacea,Phalaris arundinacea,Rietgras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Phleum pratense,Phleum pratense,Timoteegras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Phragmites australis,Phragmites australis,Riet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Phyteuma spicatum subsp. nigrum,Phyteuma spicatum subsp. nigrum,Zwartblauwe rapunzel ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Picris echioides,Picris echioides,Dubbelkelk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Picris hieracioides,Picris hieracioides,Echt bitterkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Pilularia globulifera,Pilularia globulifera,Pilvaren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Pimpinella saxifraga,Pimpinella saxifraga,Kleine bevernel,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Pinguicula vulgaris,Pinguicula vulgaris,Vetblad,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Pinus sylvestris,Pinus sylvestris,Grove den,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
