km,dikeraising_evr_smooth,dikeraising_lrg_smooth,groynelowering_evr_smooth,groynelowering_lrg_smooth,lowering_evr_natural,lowering_evr_smooth,lowering_lrg_natural,lowering_lrg_smooth,minemblowering_evr_smooth,minemblowering_lrg_smooth,reference_FM_dQdh,sidechannel_evr_natural,sidechannel_evr_smooth,sidechannel_lrg_natural,sidechannel_lrg_smooth,smoothing_evr_natural,smoothing_evr_smooth,smoothing_lrg_natural,smoothing_lrg_smooth
900.0,0.0,0.0,-0.0136874190495,-0.0127443279357,-0.95166196661,-1.03494351917,-0.403354334703,-0.433779224134,-0.0552656795494,-0.0277490630358,0.0,-0.152375743566,-0.195203722369,-0.043977042935,-0.0536263876631,-0.0735074528553,-0.162567195353,-0.0277433399374,-0.082589317427
901.0,0.0,0.0,-0.0143900960297,-0.01331470592,-0.940660126895,-1.02338630948,-0.38310548729,-0.413034390694,-0.0569614285681,-0.0275407825138,0.0,-0.141998666406,-0.179180196446,-0.045334947521,-0.0551360134229,-0.0698226496825,-0.157891600328,-0.0188737236924,-0.0730898480811
902.0,0.0,0.0,-0.014848600264,-0.0139060583263,-0.925299313551,-1.00938854396,-0.365325514514,-0.394586702037,-0.061639621727,-0.0291033274091,0.0,-0.163193840443,-0.205222934645,-0.047467360973,-0.0581467291252,-0.0633795717473,-0.152883453065,-0.0129656742084,-0.0666429044824
903.0,0.0,0.0,-0.0151741359371,-0.0141037267274,-0.939769540024,-1.02335990491,-0.374545289213,-0.404147242447,-0.0597529826693,-0.0301291334826,0.0,-0.161873071291,-0.205125676304,-0.0497493800665,-0.0609284603878,-0.064513221899,-0.153171584369,-0.0114670611776,-0.0640906792798
904.0,0.0,0.0,-0.0143410643532,-0.0138744725745,-0.923985150274,-1.00601176594,-0.389671502801,-0.420571343188,-0.0572193760268,-0.0302460149744,0.0,-0.156967171354,-0.202775386916,-0.0517829908099,-0.0634281818024,-0.0649088792832,-0.153377632432,-0.0165402339143,-0.0709355796855
905.0,0.0,0.0,-0.014945193111,-0.0144683987474,-0.905060710433,-0.987163165161,-0.399010391823,-0.430855968193,-0.0556193764086,-0.0308258610502,0.0,-0.153502271546,-0.19765165121,-0.0532322844972,-0.0652220612697,-0.0583299688552,-0.147069985219,-0.0161483434152,-0.0716707960464
906.0,0.0,0.0,-0.0149236657403,-0.0144646526982,-0.894059796435,-0.975902370097,-0.421761017152,-0.455792103311,-0.0550955813014,-0.0324395776734,0.0,-0.154175582109,-0.199536889079,-0.0556365871768,-0.0679872741535,-0.0583359365783,-0.146613228358,-0.018257479874,-0.0742895970899
907.0,0.0,0.0,-0.0150221615932,-0.0145384707078,-0.890813936475,-0.97021001799,-0.433001460962,-0.467822037117,-0.0490844139116,-0.0333299570303,0.0,-0.163626552661,-0.211211943222,-0.0577160034824,-0.0705696345564,-0.061188302294,-0.147889750705,-0.0188427554421,-0.075881362758
908.0,0.0,0.0,-0.0152083614909,-0.0147227601494,-0.886018311341,-0.965199079874,-0.433568992357,-0.468394815671,-0.0478211378885,-0.0332422051033,0.0,-0.159952813749,-0.207283809815,-0.0581537030909,-0.0714244124486,-0.0591387210658,-0.146307164671,-0.0188254318673,-0.0761104825613
909.0,0.0,0.0,-0.0157517877905,-0.0152524136139,-0.875252188814,-0.955767119114,-0.442915765496,-0.478370204376,-0.0467543472368,-0.0337914339817,0.0,-0.149900696214,-0.19526038815,-0.0597153486862,-0.0739379667892,-0.0492301724318,-0.136530675466,-0.0183445808718,-0.076485728378
910.0,0.0,0.0,-0.0163394588826,-0.0158210192273,-0.875709943356,-0.955956064016,-0.45853560665,-0.49517846037,-0.0459698330986,-0.0351448513575,0.0,-0.142037341177,-0.18591471217,-0.0620040257798,-0.0768313053668,-0.0508541680321,-0.137037716426,-0.0214991809929,-0.0803918310135
911.0,0.0,0.0,-0.0165543186114,-0.0160120263931,-0.89344819683,-0.969943904696,-0.481607483488,-0.519220209988,-0.0487979653788,-0.0364646897925,0.0,-0.135652888987,-0.177698458691,-0.0643252093862,-0.0797400669066,-0.0588957489313,-0.141890999764,-0.0234542192796,-0.0831603195976
912.0,0.0,0.0,-0.015912289878,-0.0155284503333,-0.871960296236,-0.946677253267,-0.484222987941,-0.522423895421,-0.0494992856056,-0.0373232035787,0.0,-0.130541457337,-0.170297610522,-0.0661302127741,-0.0820342034789,-0.0586690080579,-0.140676234284,-0.0240718193376,-0.085052958122
913.0,0.0,0.0,-0.016456816969,-0.0160486860049,-0.863240338217,-0.93700580852,-0.495481017944,-0.534961019392,-0.043259510094,-0.0350013952481,0.0,-0.121404416684,-0.159369257362,-0.0655306934991,-0.0820850116289,-0.0588042353723,-0.13959708424,-0.0275266625044,-0.0891299449633
914.0,0.0,0.0,-0.0161356288555,-0.0157345067184,-0.856347779805,-0.928552607571,-0.47342276884,-0.51160225746,-0.0427487696571,-0.0325870208083,0.0,-0.105718517315,-0.144102809739,-0.0442684413482,-0.0590516076961,-0.0615000238462,-0.14084158972,-0.0287221702738,-0.0891644902397
915.0,0.0,0.0,-0.0140928091039,-0.0136749818972,-0.850743806002,-0.922227244237,-0.47216645138,-0.509592769955,-0.0380505620841,-0.0311397126143,0.0,-0.106631162734,-0.147080141962,-0.0409273703529,-0.0561744034076,-0.0568578826295,-0.135017898426,-0.027071864913,-0.0862408929774
916.0,0.0,0.0,-0.0146065040806,-0.014170823628,-0.84335593941,-0.912858524405,-0.449687273918,-0.485196298797,-0.0338710152324,-0.0251083787928,0.0,-0.113374750239,-0.155634323604,-0.0434526358808,-0.0590000658578,-0.0565718371987,-0.132895734031,-0.0244789125502,-0.0819939705493
917.0,0.0,0.0,-0.014507329229,-0.0140636868997,-0.843640879314,-0.91362007845,-0.441781037801,-0.477212682509,-0.0213767454252,-0.0124655413964,0.0,-0.116647996067,-0.159997645466,-0.0451642200365,-0.0611368353559,-0.0563454296762,-0.13287613618,-0.0238678462194,-0.0812507915619
918.0,0.0,0.0,-0.0153396408666,-0.014872285537,-0.802461749284,-0.871313025253,-0.420715203202,-0.455234904488,-0.0118110725434,-0.00228817562829,0.0,-0.124080760392,-0.16999839455,-0.0483982427075,-0.0653210737024,-0.0503870172852,-0.126534765633,-0.0193121032323,-0.0765005822581
919.0,0.0,0.0,-0.0138233533096,-0.0133352301193,-0.831447385828,-0.89949929334,-0.432227459917,-0.465548470482,-0.0185223106351,-0.00938059556048,0.0,-0.129758876222,-0.177784940717,-0.0507321286804,-0.0682991530592,-0.0535542879307,-0.126867967903,-0.0217867627887,-0.0759356253025
920.0,0.0,0.0,-0.0104022813818,-0.00988606792997,-0.839236311371,-0.90536383604,-0.449717962523,-0.483238718013,-0.0201735643687,-0.010487737452,0.0,-0.134870301965,-0.185183839465,-0.0538522351879,-0.0724149322175,-0.0634847960923,-0.134980596909,-0.0274947619763,-0.0819063302717
921.0,0.0,0.0,-0.00887520518718,-0.00832788756228,-0.789366531556,-0.852252630366,-0.424174269005,-0.457788587829,-0.0200310713916,-0.00984521031693,0.0,-0.121193194519,-0.168872918848,-0.056621380232,-0.0765840751864,-0.0606021235809,-0.131000754147,-0.0210813088334,-0.076584547968
